message,reaction
"ah yes you are always so polite "" said mamma with a smile; and kaela silently pressed his hand all soiled as it was with the clay .",joy
kaela ' s beauty had a firm hold on alfred; it filled his soul and held a mastery over him .,joy
songs were sung and cheers given; for it was a gay wedding and they were a handsome pair .,joy
they felt the want of a change of air and consequently the young couple and their mother travelled to italy .,anger
"thank heaven we are at home again within our own four walls "" said mamma in law and daughter both on their return after a year ' s absence .",joy
"there is no real pleasure in travelling "" said mamma; "" to tell the truth it ' s very wearisome; i beg pardon for saying so .",anger
i was soon very tired of it although i had my children with me; and besides it ' s very expensive work travelling very expensive .,anger
and all those galleries one is expected to see and the quantity of things you are obliged to run after !,anger
it must be done for very shame; you are sure to be asked when you come back if you have seen everything and will most likely be told that you ' ve omitted to see what was best worth seeing of all .,anger
i got tired at last of those endless madonnas; i began to think i was turning into a madonna myself .,anger
"and then the living mamma "" said kaela .",anger
"yes indeed "" she replied "" no such a thing as a respectable meat soup their cookery is miserable stuff .",anger
mamma in law acknowledged that sophy was not only a clever housewife but well informed and accomplished though that could hardly be expected in a person of her limited means .,joy
"she was beautiful "" said her mother; "" she was quite different from the beauties they call ' antiques ' for they are so damaged .",sadness
alfred wept and mamma wept and they both wore mourning .,sadness
the black dress suited mamma very well and she wore mourning the longest .,sadness
she had also to experience another grief in seeing alfred marry again marry sophy who was nothing at all to look at .,sadness
"he ' s gone to the very extreme "" said mamma in law; "" he has gone from the most beautiful to the ugliest and he has forgotten his first wife .",anger
men have no constancy .,anger
"' pygmalion loved his galatea ' was in the song they sung at my first wedding "" said alfred; "" i once fell in love with a beautiful statue which awoke to life in my arms; but the kindred soul which is a gift from heaven the angel who can feel and sympathize with and elevate us i have not found and won till now .",joy
"that was not a loving speech "" said sophy "" nor spoken like a christian .",anger
"why you must be out of your senses "" cried the farrier .",surprise
golden shoes for you indeed !,surprise
"but why does the horse have golden shoes ? "" asked the farrier; "" of course you understand the reason ?",surprise
understand !,surprise
"well i understand that it is a personal slight to me "" cried the beetle .",anger
it is done to annoy me so i intend to go out into the world and seek my fortune .,anger
"you ' re a rude fellow "" cried the beetle as he walked out of the stable; and then he flew for a short distance till he found himself in a beautiful flower garden all fragrant with roses and lavender .",anger
"the lady birds with red and black shells on their backs and delicate wings were flying about and one of them said "" is it not sweet and lovely here ?",joy
oh how beautiful everything is .,joy
"i am accustomed to better things "" said the beetle .",anger
do you call this beautiful ?,anger
why there is not even a dung heap .,anger
"how beautiful this world is ! "" said the caterpillar .",joy
the sun is so warm i quite enjoy it .,joy
and soon i shall go to sleep and die as they call it but i shall wake up with beautiful wings to fly with like a butterfly .,joy
"how conceited you are ! "" exclaimed the beetle .",anger
fly about as a butterfly indeed ! what of that .,anger
i have come out of the emperor ' s stable and no one there not even the emperor ' s horse who in fact wears my cast off golden shoes has any idea of flying excepting myself .,anger
"to have wings and fly ! why i can do that already; "" and so saying he spread his wings and flew away .",anger
"i don ' t want to be disgusted "" he said to himself "" and yet i can ' t help it .",anger
towards morning he crept out of his hiding place feeling in a very bad temper with the climate .,anger
two frogs were sitting on the linen and their bright eyes actually glistened with pleasure .,joy
"wonderful weather this "" cried one of them "" and so refreshing .",joy
this linen holds the water together so beautifully that my hind legs quiver as if i were going to swim .,joy
what delicious moisture !,joy
it is as pleasant as lying in a wet ditch .,joy
is there not even a dunghill here in this garden where a person of rank like myself could take up his abode and feel at home ?,anger
"our dear son has engaged himself "" said one mother "" dear innocent boy; his greatest ambition is that he may one day creep into a clergyman ' s ear .",joy
that is a very artless and loveable wish; and being engaged will keep him steady .,joy
what happiness for a mother !,joy
"how charming this is for a mother is it not mr . beetle ? "" for she knew the stranger by his horny coat .",joy
"now you shall also see my little earwigs "" said a third and a fourth mother "" they are lovely little things and highly amusing .",joy
"they are always busy about something the little rogues "" said the mother beaming with maternal pride; but the beetle felt it a bore and he therefore inquired the way to the nearest dung heap .",anger
"when he arrived at the ditch he met several friends all them beetles; "" we live here "" they said "" and we are very comfortable .",joy
"certainly "" said the beetle "" i shall be most happy; i have been exposed to the rain and have had to lie upon linen and cleanliness is a thing that greatly exhausts me; i have also pains in one of my wings from standing in the draught under a piece of broken crockery .",joy
it is really quite refreshing to be with one ' s own kindred again .,joy
"none of them are engaged yet "" said their mother and the beetle maidens tittered again this time quite in confusion .",surprise
"i have never seen greater beauties even in the royal stables "" exclaimed the beetle who was now resting himself .",surprise
"the mother gave them her blessing and all the other beetles cried "" hurrah .",joy
"oh "" said the other beetles "" this fellow that we have received into our family is nothing but a complete vagabond .",anger
he has gone away and left his wife a burden upon our hands .,anger
fie on the villain that forsook her !,anger
our beetle considered this speech a great insult so he flew suddenly out of the speaker ' s hand .,anger
all this was very delightful and when the beetle woke up he crept forth and looked around him .,joy
what a splendid place the hothouse was !,joy
"what a wonderful quantity of plants "" cried the beetle; "" how good they will taste when they are decayed !",joy
"what beautiful weather "" said the fly; "" i shall rest here and sun myself .",joy
"you speak without knowing the facts "" replied the beetle; "" don ' t you see that i am a prisoner ?",anger
"well now i know the world "" said the beetle to himself; "" it ' s an abominable world; i ' m the only respectable person in it .",anger
first they refuse me my golden shoes; then i have to lie on damp linen and to stand in a draught; and to crown all they fasten a wife upon me .,anger
this vexes me more than anything .,anger
but it is useless to look for sympathy in this world .,anger
my career has been very interesting but what ' s the use of that if nobody knows anything about it ?,sadness
the world does not deserve to be made acquainted with my adventures for it ought to have given me golden shoes when the emperor ' s horse was shod and i stretched out my feet to be shod too .,anger
if i had received golden shoes i should have been an ornament to the stable; now i am lost to the stable and to the world .,sadness
it is all over with me .,sadness
"and there ' s a poor little creature bound fast in it "" said another .",surprise
"there "" she said "" creep away or fly if thou canst .",joy
it is a splendid thing to have thy liberty .,joy
"well "" he said "" here i am seated on the emperor ' s favorite horse sitting upon him as if i were the emperor himself .",joy
they were given to the horse on my account .,joy
and this reflection put the beetle into a good temper .,joy
the world is not so bad after all if you know how to take things as they come .,joy
the sun was shining the birds were singing and the confirmed children sang too holding each other by the hand for they had no position yet and they were all equal in the eyes of god .,joy
"when the others arrived at the willow trees where the confectioner had put up his stall they said : "" now we are out here; the bell does not in reality exist it is only something that people imagine !",surprise
we must try to find out if it is !,joy
therefore they let him go alone; and as he walked on the solitude of the wood produced a feeling of reverence in his breast; but still he heard the little bell about which the others rejoiced and sometimes when the wind blew in that direction he could hear the sounds from the confectioner ' s stall where the others were singing at tea .,joy
but the poor boy with the wooden shoes was quite ashamed; he pulled at the short sleeves of his jacket and said that he was afraid he could not walk so fast; besides he was of opinion that the bell ought to be sought at the right for there was all that was grand and magnificent .,sadness
"i will and must find the bell "" he said "" if i have to go to the end of the world .",joy
"then the sun set the clouds were as red as fire; it became quiet in the wood; he sank down on his knees sang an evening hymn and said : "" i shall never find what i am looking for !",anger
oh what a splendour !,joy
the sea the great majestic sea which was rolling its long waves against the shore stretched out before him and the sun was standing like a large bright altar and there where sea and heaven met all melted together in the most glowing colours; the wood was singing and his heart too .,joy
the whole of nature was one large holy church in which the trees and hovering clouds formed the pillars the flowers and grass the woven velvet carpet and heaven itself was the great cupola; up there the flame colour vanished as soon as the sun disappeared but millions of stars were lighted; diamond lamps were shining and the king ' s son stretched his arms out towards heaven towards the sea and towards the wood .,joy
and they ran towards each other and took one another ' s hand in the great cathedral of nature and poesy and above them sounded the invisible holy bell; happy spirits surrounded them singing hallelujahs and rejoicing .,joy
grandmother says that she has heard her own grandmother tell of him; he is said to lead a solitary life and to have nobody with whom he can converse save the great old church bell .,sadness
"ding dong ! ding dong ! "" sounded the bell when the tower still stood there; and one evening while the sun was setting and the bell was swinging away bravely it broke loose and came flying down through the air the brilliant metal shining in the ruddy beam .",joy
ding dong ! ding dong !,joy
"now i ' ll retire to rest ! "" sang the bell and flew down into the odense au where it is deepest; and that is why the place is called the "" bell deep .",joy
but the bell got neither rest nor sleep .,sadness
down in the au mann ' s haunt it sounds and rings so that the tones sometimes pierce upward through the waters; and many people maintain that its strains forebode the death of some one; but that is not true for the bell is only talking with the au mann who is now no longer alone .,joy
he had known the nun right well and he thought of her and his heart beat quicker as he thought .,joy
ding dong ! ding dong !,joy
i may sing of everything that is kept concealed behind lock and bars .,sadness
yonder it is cold and wet .,sadness
nobody knows of it !,sadness
nobody hears of it !,sadness
not even now for the bell is ringing and singing its loud ding dong ding dong ! ',sadness
the throng in front of the church knew where they could hit the king and one of them flung a stone through a pane of glass and the king lay there dead !,sadness
the cries and screams of the savage horde and of the birds sounded through the air and i joined in it also; for i sang ' ding dong ! ding dong ! ',sadness
the church bell hangs high and looks far around and sees the birds around it and understands their language .,joy
the wind roars in upon it through windows and loopholes; and the wind knows everything for he gets it from the air which encircles all things and the church bell understands his tongue and rings it out into the world ' ding dong ! ding dong ! ',joy
but it was too much for me to hear and to know; i was not able any longer to ring it out .,sadness
i became so tired so heavy that the beam broke and i flew out into the gleaming au where the water is deepest and where the au mann lives solitary and alone; and year by year i tell him what i have heard and what i know .,sadness
but the schoolmaster says that there was not any bell that rung down there for that it could not do so; and that no au mann dwelt yonder for there was no au mann at all !,sadness
it is around us it is in us it talks of our thoughts and of our deeds and it speaks longer of them than does the bell down in the depths of the odense au where the au mann dwells .,joy
"what has a woman to do with rule ? "" said the bishop .",anger
cursed be she and all that belongs to her .,anger
let her be expelled from the congregation and the church .,anger
let no man stretch forth a helping hand to her and let friends and relations avoid her as a plague and a pestilence !,anger
"thou child of perdition i will yet carry out my purpose ! "" cried the bishop of borglum .",anger
now will i lay the hand of the pope upon thee to summon thee before the tribunal that shall condemn thee !,anger
then one of them mentioned thyland in denmark and spoke of her sorrows of her woes which were soon to cease for so divine providence had willed it .,sadness
he seized her hand he embraced her and the mother wept .,joy
"that will avail him little "" said the bishop .",anger
"thou borglum bishop "" he exclaims "" i shall subdue thee after all !",anger
under the shield of the pope the law cannot reach thee; but jens glob shall reach thee !,anger
"sayest thou so ? "" replied olaf hase .",surprise
hold brother !,surprise
they will have no word more to say in the matter nor will i speak again of all the wrong that my mother has endured .,joy
then their anxieties are dispelled; and at even they join in the dance at the feast given in the great hall at borglum .,joy
an old maid stood at the window; she had hung chickweed over the cage and the little linnet which it contained hopped from perch to perch and sang and twittered merrily .,joy
"yes it ' s all very well for you to sing "" said the bottle neck : that is he did not really speak the words as we do for the neck of a bottle cannot speak; but he thought them to himself in his own mind just as people sometimes talk quietly to themselves .",joy
yes you may sing very well you have all your limbs uninjured; you should feel what it is like to lose your body and only have a neck and a mouth left with a cork stuck in it as i have : you wouldn ' t sing then i know .,anger
i have no reason to sing nor could i sing now if i were ever so happy; but when i was a whole bottle and they rubbed me with a cork didn ' t i sing then ?,sadness
the little bird sang his own song merrily; in the street below there was driving and running to and fro every one thought of his own affairs or perhaps of nothing at all; but the bottle neck thought deeply .,joy
the bottle did not behold the light of day again until it was unpacked with the rest in the wine merchant ' s cellar and for the first time rinsed with water which caused some very curious sensations .,surprise
ah how beautiful is life .,joy
all these tones of joy and song in the bottle were like the working of a young poet ' s brain who often knows not the meaning of the tones which are sounding within him .,joy
she was young and pretty; her brown eyes laughed and a smile lingered round her mouth as sweet as that in her eyes .,joy
there had been a great deal of talk on this subject while the basket was being packed and during this conversation the eyes and the mouth of the furrier ' s daughter did not wear a very joyful expression .,sadness
it remained there a long time; but when at last it was brought forth it appeared as if something pleasant had happened for every one was laughing; the furrier ' s daughter laughed too but she said very little and her cheeks were like two roses .,joy
what a strange sensation it was to have the cork drawn for the first time !,surprise
"long life to the betrothed "" cried the papa and every glass was emptied to the dregs while the young sailor kissed his beautiful bride .",joy
"happiness and blessing to you both "" said the old people father and mother and the young man filled the glasses again .",joy
"safe return and a wedding this day next year "" he cried; and when the glasses were empty he took the bottle raised it on high and said "" thou hast been present here on the happiest day of my life; thou shalt never be used by others !",joy
"i gave them wine and they gave me muddy water "" he had said to himself "" but i suppose it was all well meant .",anger
he could no longer see the betrothed couple nor the cheerful old people; but for a long time he could hear them rejoicing and singing .,joy
"those were happy days and the bottle would sing when rubbed with a cork and it was called a great lark "" "" peter jensen ' s lark .",joy
"at the last moment when the ship was sinking the young mate wrote on a piece of paper "" we are going down : god ' s will be done .",sadness
"what trouble they have taken with that bottle over yonder ! "" said one and very likely it is broken after all .",surprise
but the bottle was not broken and better still it understood every word that was said : this language it had heard at the furnaces and at the wine merchant ' s; in the forest and on the ship it was the only good old language it could understand .,surprise
it had returned home and the language was as a welcome greeting .,joy
for very joy it felt ready to jump out of people ' s hands and scarcely noticed that its cork had been drawn and its contents emptied out till it found itself carried to a cellar to be left there and forgotten .,joy
there ' s no place like home even if it ' s a cellar .,joy
it never occurred to him to think that he might lie there for years he felt so comfortable .,joy
the stars twinkled; and the new moon in the form of a crescent was surrounded by the shadowy disc of the whole moon and looked like a gray globe with a golden rim : it was a beautiful sight for those who had good eyes .,joy
everything here appeared lovely to our bottle for it was again in the green wood amid joy and feasting; again it heard music and song and the noise and murmur of a crowd especially in that part of the garden where the lamps blazed and the paper lanterns displayed their brilliant colors .,joy
it stood in a distant walk certainly but a place pleasant for contemplation; and it carried a light; and was at once useful and ornamental .,joy
it seemed to the bottle as if he were living that time over again .,joy
not only the guests but other people were walking in the garden who were allowed to witness the splendor and the festivities .,joy
she was thinking like the bottle of the green wood and of a young betrothed pair who were closely connected with herself; she was thinking of that hour the happiest of her life in which she had taken part when she had herself been one of that betrothed pair; such hours are never to be forgotten let a maiden be as old as she may .,joy
the rabbit was quite excited because he knew that he was to be taken up and let down again in a parachute .,joy
"then the ropes which held it were cut through and the aerial ship rose in the air with the aeronaut and the basket containing the bottle and the rabbit while the music sounded and all the people shouted "" hurrah .",joy
"this is a wonderful journey up into the air "" thought the bottle; "" it is a new way of sailing and here at least there is no fear of striking against anything .",joy
then it began to descend much more rapidly than the rabbit had done made somersaults in the air and felt itself quite young and unfettered although it was half full of wine .,surprise
then they hung it in the cage of the little bird who sang and twittered more merrily than ever .,joy
do you see how splendidly the tree has grown ?,joy
it has been raised from only a little sprig of myrtle that you gave me on the day after my betrothal and from which i was to make my own bridal bouquet when a year had passed : but that day never came; the eyes were closed which were to have been my light and joy through life .,sadness
before the sprig you gave me faded i took a spray and planted it in the earth; and now as you see it has become a large tree and a bunch of the blossoms shall at last appear at a wedding festival in the bouquet of your daughter .,joy
there were tears in the eyes of the old maid as she spoke of the beloved of her youth and of their betrothal in the wood .,joy
corn grows in the surrounding fields not only rye and barley but oats pretty oats that when ripe look like a number of little golden canary birds sitting on a bough .,joy
the corn has a smiling look and the heaviest and richest ears bend their heads low as if in pious humility .,joy
the buckwheat did not bend like the other grain but erected its head proudly and stiffly on the stem .,joy
"i am as valuable as any other corn "" said he "" and i am much handsomer; my flowers are as beautiful as the bloom of the apple blossom and it is a pleasure to look at us .",joy
do you know of anything prettier than we are you old willow tree ?,joy
"and the willow tree nodded his head as if he would say "" indeed i do .",surprise
"but the buckwheat spread itself out with pride and said "" stupid tree; he is so old that grass grows out of his body .",anger
"i have no occasion to do so "" replied the buckwheat .",anger
"but i will not bend my head "" said the buckwheat .",anger
"inferior indeed ! "" said the buckwheat .",anger
now i intend to have a peep into heaven .,anger
proudly and boldly he looked up while the lightning flashed across the sky as if the whole world were in flames .,joy
when the dreadful storm had passed the flowers and the corn raised their drooping heads in the pure still air refreshed by the rain but the buckwheat lay like a weed in the field burnt to blackness by the lightning .,sadness
the branches of the old willow tree rustled in the wind and large water drops fell from his green leaves as if the old willow were weeping .,sadness
then the sparrows asked why he was weeping when all around him seemed so cheerful .,surprise
"see "" they said how the sun shines and the clouds float in the blue sky .",joy
do you not smell the sweet perfume from flower and bush ?,surprise
wherefore do you weep old willow tree ?,surprise
then the willow told them of the haughty pride of the buckwheat and of the punishment which followed in consequence .,sadness
