message,reaction
"Those deep-blue eyes, which had been lit up this evening in honor of him, must conceal treasures, treasures of heart and mind, richer than all the glories of Rome; and so when he left the party that night, he had lost it completely to the young lady.",joy
"The young man felt the truth of the proverb, ""Still waters run deep:"" and his heart had sunk into their depths.",joy
It was a pleasure to hear Alfred describe anything.,joy
"""Good heavens!"" she exclaimed.",surprise
"""Oh, the poor people!",surprise
"And you saw all that with your own eyes?""",surprise
"He placed a pencil sketch on the table; and mamma, who had been over-powered with the appearance of the colored plates, threw a glance at the pale drawing and cried in astonishment, ""What, did you see it throw up white fire?""",surprise
"For a moment, Alfred's respect for Kaela's mamma underwent a sudden shock, and lessened considerably; but, dazzled by the light which surrounded Kaela, he soon found it quite natural that the old lady should have no eye for color.",anger
"The betrothed pair were very happy, and the mother was happy too.",joy
"""You are a true successor of Thorwalsden,"" she said to Alfred; and it seemed to him as if, in this instance, mamma had said a clever thing.",joy
"Kaela was silent; but her eyes shone, her lips smiled, every movement was graceful,- in fact, she was beautiful; that cannot be repeated too often.",joy
"""Ah, yes, you are always so polite,"" said mamma, with a smile; and Kaela silently pressed his hand, all soiled as it was with the clay.",joy
"Kaela's beauty had a firm hold on Alfred; it filled his soul, and held a mastery over him.",joy
"Songs were sung, and cheers given; for it was a gay wedding, and they were a handsome pair.",joy
"They felt the want of a change of air, and consequently the young couple and their mother travelled to Italy.",anger
"""Thank heaven we are at home again within our own four walls,"" said mamma-in-law and daughter both, on their return after a year's absence.",joy
"""There is no real pleasure in travelling,"" said mamma; ""to tell the truth, it's very wearisome; I beg pardon for saying so.",anger
"I was soon very tired of it, although I had my children with me; and, besides, it's very expensive work travelling, very expensive.",anger
"And all those galleries one is expected to see, and the quantity of things you are obliged to run after!",anger
"It must be done, for very shame; you are sure to be asked when you come back if you have seen everything, and will most likely be told that you've omitted to see what was best worth seeing of all.",anger
"I got tired at last of those endless Madonnas; I began to think I was turning into a Madonna myself.""",anger
"""And then the living, mamma,"" said Kaela.",anger
"""Yes, indeed,"" she replied, ""no such a thing as a respectable meat soup- their cookery is miserable stuff.""",anger
"Mamma-in-law acknowledged that Sophy was not only a clever housewife, but well-informed and accomplished, though that could hardly be expected in a person of her limited means.",joy
"""She was beautiful,"" said her mother; ""she was quite different from the beauties they call 'antiques,' for they are so damaged.",sadness
"Alfred wept, and mamma wept, and they both wore mourning.",sadness
"The black dress suited mamma very well, and she wore mourning the longest.",sadness
"She had also to experience another grief in seeing Alfred marry again, marry Sophy, who was nothing at all to look at.",sadness
"""He's gone to the very extreme,"" said mamma-in-law; ""he has gone from the most beautiful to the ugliest, and he has forgotten his first wife.",anger
Men have no constancy.,anger
"""'Pygmalion loved his Galatea,' was in the song they sung at my first wedding,"" said Alfred; ""I once fell in love with a beautiful statue, which awoke to life in my arms; but the kindred soul, which is a gift from heaven, the angel who can feel and sympathize with and elevate us, I have not found and won till now.",joy
"""That was not a loving speech,"" said Sophy, ""nor spoken like a Christian.",anger
"""Why, you must be out of your senses,"" cried the farrier.",surprise
"""Golden shoes for you, indeed!""",surprise
"""But why does the horse have golden shoes?"" asked the farrier; ""of course you understand the reason?""",surprise
"""Understand!",surprise
"Well, I understand that it is a personal slight to me,"" cried the beetle.",anger
"""It is done to annoy me, so I intend to go out into the world and seek my fortune.""",anger
"""You're a rude fellow,"" cried the beetle, as he walked out of the stable; and then he flew for a short distance, till he found himself in a beautiful flower-garden, all fragrant with roses and lavender.",anger
"The lady-birds, with red and black shells on their backs, and delicate wings, were flying about, and one of them said, ""Is it not sweet and lovely here?",joy
"Oh, how beautiful everything is.""",joy
"""I am accustomed to better things,"" said the beetle.",anger
"""Do you call this beautiful?",anger
"Why, there is not even a dung-heap.""",anger
"""How beautiful this world is!"" said the caterpillar.",joy
"""The sun is so warm, I quite enjoy it.",joy
"And soon I shall go to sleep, and die as they call it, but I shall wake up with beautiful wings to fly with, like a butterfly.""",joy
"""How conceited you are!"" exclaimed the beetle.",anger
"""Fly about as a butterfly, indeed! what of that.",anger
"I have come out of the Emperor's stable, and no one there, not even the Emperor's horse, who, in fact, wears my cast-off golden shoes, has any idea of flying, excepting myself.",anger
"To have wings and fly! why, I can do that already;"" and so saying, he spread his wings and flew away.",anger
"""I don't want to be disgusted,"" he said to himself, ""and yet I can't help it.""",anger
"Towards morning he crept out of his hiding-place, feeling in a very bad temper with the climate.",anger
"Two frogs were sitting on the linen, and their bright eyes actually glistened with pleasure.",joy
"""Wonderful weather this,"" cried one of them, ""and so refreshing.",joy
"This linen holds the water together so beautifully, that my hind legs quiver as if I were going to swim.""",joy
What delicious moisture!,joy
It is as pleasant as lying in a wet ditch.,joy
"Is there not even a dunghill here in this garden, where a person of rank, like myself, could take up his abode and feel at home?""",anger
"""Our dear son has engaged himself,"" said one mother, ""dear innocent boy; his greatest ambition is that he may one day creep into a clergyman's ear.",joy
That is a very artless and loveable wish; and being engaged will keep him steady.,joy
"What happiness for a mother!""",joy
"How charming this is for a mother, is it not Mr. Beetle?"" for she knew the stranger by his horny coat.",joy
"""Now you shall also see my little earwigs,"" said a third and a fourth mother, ""they are lovely little things, and highly amusing.",joy
"""They are always busy about something, the little rogues,"" said the mother, beaming with maternal pride; but the beetle felt it a bore, and he therefore inquired the way to the nearest dung-heap.",anger
"When he arrived at the ditch, he met several friends, all them beetles; ""We live here,"" they said, ""and we are very comfortable.",joy
"""Certainly,"" said the beetle, ""I shall be most happy; I have been exposed to the rain, and have had to lie upon linen, and cleanliness is a thing that greatly exhausts me; I have also pains in one of my wings from standing in the draught under a piece of broken crockery.",joy
"It is really quite refreshing to be with one's own kindred again.""",joy
"""None of them are engaged yet,"" said their mother, and the beetle maidens tittered again, this time quite in confusion.",surprise
"""I have never seen greater beauties, even in the royal stables,"" exclaimed the beetle, who was now resting himself.",surprise
"The mother gave them her blessing, and all the other beetles cried ""hurrah.""",joy
"""Oh,"" said the other beetles, ""this fellow that we have received into our family is nothing but a complete vagabond.",anger
"He has gone away and left his wife a burden upon our hands.""",anger
"""Fie on the villain that forsook her!""",anger
"Our beetle considered this speech a great insult, so he flew suddenly out of the speaker's hand.",anger
"All this was very delightful, and when the beetle woke up he crept forth and looked around him.",joy
What a splendid place the hothouse was!,joy
"""What a wonderful quantity of plants,"" cried the beetle; ""how good they will taste when they are decayed!",joy
"""What beautiful weather,"" said the fly; ""I shall rest here and sun myself.",joy
"""You speak without knowing the facts,"" replied the beetle; ""don't you see that I am a prisoner?""",anger
"""Well, now I know the world,"" said the beetle to himself; ""it's an abominable world; I'm the only respectable person in it.",anger
"First, they refuse me my golden shoes; then I have to lie on damp linen, and to stand in a draught; and to crown all, they fasten a wife upon me.",anger
This vexes me more than anything.,anger
But it is useless to look for sympathy in this world.,anger
"My career has been very interesting, but what's the use of that if nobody knows anything about it?",sadness
"The world does not deserve to be made acquainted with my adventures, for it ought to have given me golden shoes when the emperor's horse was shod, and I stretched out my feet to be shod, too.",anger
If I had received golden shoes I should have been an ornament to the stable; now I am lost to the stable and to the world.,sadness
"It is all over with me.""",sadness
"""And there's a poor little creature bound fast in it,"" said another.",surprise
"""There,"" she said, ""creep away, or fly, if thou canst.",joy
"It is a splendid thing to have thy liberty.""",joy
"""Well,"" he said, ""here I am, seated on the emperor's favorite horse,- sitting upon him as if I were the emperor himself.",joy
"They were given to the horse on my account.""",joy
And this reflection put the beetle into a good temper.,joy
"""The world is not so bad after all, if you know how to take things as they come.",joy
"The sun was shining, the birds were singing, and the confirmed children sang too, holding each other by the hand, for they had no position yet, and they were all equal in the eyes of God.",joy
"When the others arrived at the willow trees, where the confectioner had put up his stall, they said: ""Now we are out here; the bell does not in reality exist- it is only something that people imagine!""",surprise
"""We must try to find out if it is!""",joy
"Therefore they let him go alone; and as he walked on, the solitude of the wood produced a feeling of reverence in his breast; but still he heard the little bell about which the others rejoiced, and sometimes, when the wind blew in that direction, he could hear the sounds from the confectioner's stall, where the others were singing at tea.",joy
"But the poor boy with the wooden shoes was quite ashamed; he pulled at the short sleeves of his jacket, and said that he was afraid he could not walk so fast; besides, he was of opinion that the bell ought to be sought at the right, for there was all that was grand and magnificent.",sadness
"""I will and must find the bell,"" he said, ""if I have to go to the end of the world.""",joy
"Then the sun set, the clouds were as red as fire; it became quiet in the wood; he sank down on his knees, sang an evening hymn and said: ""I shall never find what I am looking for!",anger
"""Oh, what a splendour!""",joy
"The sea, the great majestic sea, which was rolling its long waves against the shore, stretched out before him, and the sun was standing like a large bright altar and there where sea and heaven met- all melted together in the most glowing colours; the wood was singing, and his heart too.",joy
"The whole of nature was one large holy church, in which the trees and hovering clouds formed the pillars, the flowers and grass the woven velvet carpet, and heaven itself was the great cupola; up there the flame colour vanished as soon as the sun disappeared, but millions of stars were lighted; diamond lamps were shining, and the king's son stretched his arms out towards heaven, towards the sea, and towards the wood.",joy
"And they ran towards each other and took one another's hand, in the great cathedral of nature and poesy, and above them sounded the invisible holy bell; happy spirits surrounded them, singing hallelujahs and rejoicing.",joy
"Grandmother says that she has heard her own grandmother tell of him; he is said to lead a solitary life, and to have nobody with whom he can converse save the great old church Bell.",sadness
"""Ding-dong! ding-dong!"" sounded the Bell, when the tower still stood there; and one evening, while the sun was setting, and the Bell was swinging away bravely, it broke loose and came flying down through the air, the brilliant metal shining in the ruddy beam.",joy
"""Ding-dong! ding-dong!",joy
"Now I'll retire to rest!"" sang the Bell, and flew down into the Odense-Au, where it is deepest; and that is why the place is called the ""bell-deep.""",joy
But the Bell got neither rest nor sleep.,sadness
"Down in the Au-mann's haunt it sounds and rings, so that the tones sometimes pierce upward through the waters; and many people maintain that its strains forebode the death of some one; but that is not true, for the Bell is only talking with the Au-mann, who is now no longer alone.",joy
"He had known the nun right well, and he thought of her, and his heart beat quicker as he thought.",joy
"Ding-dong! ding-dong!""",joy
I may sing of everything that is kept concealed behind lock and bars.,sadness
Yonder it is cold and wet.,sadness
Nobody knows of it!,sadness
Nobody hears of it!,sadness
"Not even now, for the bell is ringing and singing its loud Ding-dong, ding-dong!'",sadness
"The throng in front of the church knew where they could hit the King, and one of them flung a stone through a pane of glass, and the King lay there dead!",sadness
"The cries and screams of the savage horde and of the birds sounded through the air, and I joined in it also; for I sang 'Ding-dong! ding-dong!'",sadness
"""The church bell hangs high, and looks far around, and sees the birds around it, and understands their language.",joy
"The wind roars in upon it through windows and loopholes; and the wind knows everything, for he gets it from the air, which encircles all things, and the church bell understands his tongue, and rings it out into the world, 'Ding-dong! ding-dong!'",joy
"""But it was too much for me to hear and to know; I was not able any longer to ring it out.",sadness
"I became so tired, so heavy, that the beam broke, and I flew out into the gleaming Au, where the water is deepest, and where the Au-mann lives, solitary and alone; and year by year I tell him what I have heard and what I know.",sadness
"But the schoolmaster says that there was not any bell that rung down there, for that it could not do so; and that no Au-mann dwelt yonder, for there was no Au-mann at all!",sadness
"It is around us, it is in us, it talks of our thoughts and of our deeds, and it speaks longer of them than does the Bell down in the depths of the Odense-Au where the Au-mann dwells.",joy
"""What has a woman to do with rule?"" said the bishop.",anger
"""Cursed be she and all that belongs to her.",anger
Let her be expelled from the congregation and the Church.,anger
"Let no man stretch forth a helping hand to her, and let friends and relations avoid her as a plague and a pestilence!""",anger
"""Thou child of perdition, I will yet carry out my purpose!"" cried the Bishop of Borglum.",anger
"""Now will I lay the hand of the Pope upon thee, to summon thee before the tribunal that shall condemn thee!""",anger
"Then one of them mentioned Thyland in Denmark, and spoke of her sorrows, of her woes, which were soon to cease, for so Divine Providence had willed it.",sadness
"He seized her hand, he embraced her, and the mother wept.",joy
"""That will avail him little,"" said the bishop.",anger
"""Thou Borglum bishop,"" he exclaims, ""I shall subdue thee after all!",anger
"Under the shield of the Pope, the law cannot reach thee; but Jens Glob shall reach thee!""",anger
"""Sayest thou so?"" replied Olaf Hase.",surprise
"""Hold, brother!",surprise
"They will have no word more to say in the matter, nor will I speak again of all the wrong that my mother has endured.""",joy
Then their anxieties are dispelled; and at even they join in the dance at the feast given in the great hall at Borglum.,joy
"An old maid stood at the window; she had hung chickweed over the cage, and the little linnet which it contained hopped from perch to perch and sang and twittered merrily.",joy
"""Yes, it's all very well for you to sing,"" said the bottle neck: that is, he did not really speak the words as we do, for the neck of a bottle cannot speak; but he thought them to himself in his own mind, just as people sometimes talk quietly to themselves.",joy
"""Yes, you may sing very well, you have all your limbs uninjured; you should feel what it is like to lose your body, and only have a neck and a mouth left, with a cork stuck in it, as I have: you wouldn't sing then, I know.",anger
"I have no reason to sing, nor could I sing now if I were ever so happy; but when I was a whole bottle, and they rubbed me with a cork, didn't I sing then?",sadness
"The little bird sang his own song merrily; in the street below there was driving and running to and fro, every one thought of his own affairs, or perhaps of nothing at all; but the bottle neck thought deeply.",joy
"The bottle did not behold the light of day again, until it was unpacked with the rest in the wine merchant's cellar, and, for the first time, rinsed with water, which caused some very curious sensations.",surprise
"""Ah, how beautiful is life.""",joy
"All these tones of joy and song in the bottle were like the working of a young poet's brain, who often knows not the meaning of the tones which are sounding within him.",joy
"She was young and pretty; her brown eyes laughed, and a smile lingered round her mouth as sweet as that in her eyes.",joy
"There had been a great deal of talk on this subject while the basket was being packed, and during this conversation the eyes and the mouth of the furrier's daughter did not wear a very joyful expression.",sadness
"It remained there a long time; but when at last it was brought forth it appeared as if something pleasant had happened, for every one was laughing; the furrier's daughter laughed too, but she said very little, and her cheeks were like two roses.",joy
What a strange sensation it was to have the cork drawn for the first time!,surprise
"""Long life to the betrothed,"" cried the papa, and every glass was emptied to the dregs, while the young sailor kissed his beautiful bride.",joy
"""Happiness and blessing to you both,"" said the old people-father and mother, and the young man filled the glasses again.",joy
"""Safe return, and a wedding this day next year,"" he cried; and when the glasses were empty he took the bottle, raised it on high, and said, ""Thou hast been present here on the happiest day of my life; thou shalt never be used by others!""",joy
"""I gave them wine, and they gave me muddy water,"" he had said to himself, ""but I suppose it was all well meant.""",anger
"He could no longer see the betrothed couple, nor the cheerful old people; but for a long time he could hear them rejoicing and singing.",joy
"Those were happy days, and the bottle would sing when rubbed with a cork, and it was called a great lark,"" ""Peter Jensen's lark.""",joy
"At the last moment, when the ship was sinking, the young mate wrote on a piece of paper, ""We are going down: God's will be done.""",sadness
"""What trouble they have taken with that bottle over yonder!"" said one, and very likely it is broken after all.""",surprise
"But the bottle was not broken, and, better still, it understood every word that was said: this language it had heard at the furnaces and at the wine merchant's; in the forest and on the ship,- it was the only good old language it could understand.",surprise
"It had returned home, and the language was as a welcome greeting.",joy
"For very joy, it felt ready to jump out of people's hands, and scarcely noticed that its cork had been drawn, and its contents emptied out, till it found itself carried to a cellar, to be left there and forgotten.",joy
"""There's no place like home, even if it's a cellar.""",joy
"It never occurred to him to think that he might lie there for years, he felt so comfortable.",joy
"The stars twinkled; and the new moon, in the form of a crescent, was surrounded by the shadowy disc of the whole moon, and looked like a gray globe with a golden rim: it was a beautiful sight for those who had good eyes.",joy
"Everything here appeared lovely to our bottle, for it was again in the green wood, amid joy and feasting; again it heard music and song, and the noise and murmur of a crowd, especially in that part of the garden where the lamps blazed, and the paper lanterns displayed their brilliant colors.",joy
"It stood in a distant walk certainly, but a place pleasant for contemplation; and it carried a light; and was at once useful and ornamental.",joy
It seemed to the bottle as if he were living that time over again.,joy
"Not only the guests but other people were walking in the garden, who were allowed to witness the splendor and the festivities.",joy
"She was thinking, like the bottle, of the green wood, and of a young betrothed pair, who were closely connected with herself; she was thinking of that hour, the happiest of her life, in which she had taken part, when she had herself been one of that betrothed pair; such hours are never to be forgotten, let a maiden be as old as she may.",joy
"The rabbit was quite excited because he knew that he was to be taken up, and let down again in a parachute.",joy
"Then the ropes which held it were cut through, and the aerial ship rose in the air with the aeronaut and the basket containing the bottle and the rabbit, while the music sounded and all the people shouted ""Hurrah.""",joy
